Category,Age,Gender,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
Food & Drink/Food/Meat & Seafood/Poultry,35-44,Male,1464,1236,2805,0.34,5.79,00:03:35,93,8303.09,0.0332
Autos & Vehicles/Motor Vehicles (By Brand)/Nissan,35-44,Male,1458,1171,3059,0.423,4.82,00:03:11,66,6886.94,0.0216
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Televisions,35-44,Male,1457,1224,3115,0.362,5.85,00:03:57,88,7403.44,0.0283
Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,35-44,Male,1456,1193,2545,0.448,4.27,00:02:32,59,4242.8,0.0232
Autos & Vehicles/Motor Vehicles (By Brand)/Honda,35-44,Male,1456,1181,3286,0.401,5.74,00:03:48,69,5271.84,0.021
Beauty & Fitness/Body Art,35-44,Male,1456,1225,2624,0.403,4.75,00:02:50,61,3778.78,0.0232
Law & Government/Military/Air Force,35-44,Male,1448,1184,2736,0.362,5.48,00:03:27,81,6242.54,0.0296
Business & Industrial/Metals & Mining,35-44,Male,1444,1194,2638,0.335,6.38,00:03:58,104,11263.62,0.0394
Finance/Accounting & Auditing,35-44,Male,1430,1139,2825,0.309,6.99,00:04:38,125,12540.91,0.0442
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Televisions/HDTVs,35-44,Male,1429,1180,2805,0.32,5.89,00:03:55,88,8556.99,0.0314
Arts & Entertainment/Movies/Animated Films,35-44,Male,1426,1192,2607,0.331,5.27,00:03:36,108,8087.7,0.0414
Food & Drink/Food/Meat & Seafood/Beef,35-44,Male,1426,1170,2862,0.344,5.97,00:03:55,87,7644.33,0.0304
Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Coffee & Espresso Makers,35-44,Male,1425,1183,2956,0.299,6.37,00:04:09,95,9614.54,0.0321
Autos & Vehicles/Custom & Performance Vehicles,35-44,Male,1416,1176,2778,0.346,5.47,00:03:41,108,8924.24,0.0389
Business & Industrial/Business Services/Office Supplies,35-44,Male,1415,1181,2873,0.315,5.92,00:04:06,96,9471.78,0.0334
Computers & Electronics/Electronics & Electrical/Electronic Components,35-44,Male,1411,1224,2700,0.335,6.18,00:04:07,93,7506.64,0.0344
Shopping/Toys/Building Toys,35-44,Male,1404,1173,2612,0.3,6.24,00:04:05,100,9643.41,0.0383
Arts & Entertainment/Comics & Animation/Cartoons,35-44,Male,1400,1184,2636,0.343,5.53,00:04:15,81,7151.9,0.0307
Beauty & Fitness/Fitness/Fitness Equipment & Accessories/Cardio Training Equipment,35-44,Male,1400,1168,2768,0.33,5.85,00:03:51,97,8769.13,0.035
Home & Garden/Home Storage & Shelving,35-44,Male,1393,1150,2771,0.326,6.09,00:03:54,110,9412.34,0.0397
Books & Literature/Poetry,35-44,Male,1389,1151,2697,0.397,5.22,00:03:33,88,7974.79,0.0326
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas/TV Crime & Legal Shows,35-44,Male,1385,1154,2753,0.357,5.18,00:03:04,54,4229.63,0.0196
Internet & Telecom/Web Portals,35-44,Male,1385,1155,2767,0.321,6.59,00:04:30,86,8010.36,0.0311
Autos & Vehicles/Classic Vehicles,35-44,Male,1384,1129,2582,0.367,5.19,00:03:12,69,7147.62,0.0267
Shopping/Gifts & Special Event Items/Gifts,35-44,Male,1372,1189,2462,0.343,6.66,00:03:36,91,9429.13,0.037
Business & Industrial/Agriculture & Forestry/Livestock,35-44,Male,1356,1127,2531,0.372,5.74,00:03:33,64,6246.84,0.0253
Computers & Electronics/Software/Operating Systems/Linux & Unix,35-44,Male,1349,1200,2479,0.296,5.92,00:04:12,91,7681.3,0.0367
Law & Government/Military,35-44,Male,1345,1106,2646,0.382,5.35,00:03:23,70,7211.22,0.0265
Reference/General Reference/Biographies & Quotations,35-44,Male,1334,1098,2536,0.381,5.42,00:03:46,64,5402.88,0.0252
Arts & Entertainment/Movies/Horror Films,35-44,Male,1329,1154,2445,0.387,4.89,00:02:47,63,5171.04,0.0258
Business & Industrial/Shipping & Logistics/Freight Transport/Maritime Transport,35-44,Male,1329,1097,2537,0.311,6.25,00:03:53,82,7545.51,0.0323
Food & Drink/Restaurants/Fast Food,35-44,Male,1327,1077,2722,0.387,4.45,00:02:53,61,4775.93,0.0224
Online Communities/Photo & Video Sharing/Photo & Image Sharing,35-44,Male,1312,1111,2460,0.357,5.37,00:03:40,80,8951.73,0.0325
Law & Government/Legal/Labor & Employment Law,35-44,Male,1310,1081,2577,0.357,5.75,00:03:52,65,6341.42,0.0252
Computers & Electronics/Software/Internet Software/Web Browsers,35-44,Male,1300,1116,2535,0.338,6.36,00:04:38,98,8479.7,0.0387
Internet & Telecom/Mobile & Wireless/Mobile & Wireless Accessories/Bluetooth Accessories,35-44,Male,1298,1076,2558,0.31,5.85,00:04:07,84,8250.88,0.0328
Games/Table Games/Billiards,35-44,Male,1296,1086,2467,0.36,5.39,00:03:27,68,5036.07,0.0276
Autos & Vehicles/Bicycles & Accessories/Mountain Bikes,35-44,Male,1294,1094,2467,0.304,5.97,00:04:12,77,7358.81,0.0312
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Game Shows,35-44,Male,1292,1062,2329,0.341,5.77,00:03:30,95,7038.52,0.0408
News/Technology News,35-44,Male,1289,1088,2434,0.307,6.08,00:04:13,86,7866.12,0.0353
Online Communities/File Sharing & Hosting,35-44,Male,1283,1110,2425,0.32,6.66,00:04:51,92,8590.59,0.0379
Computers & Electronics/Consumer Electronics/GPS & Navigation,35-44,Male,1281,1053,2617,0.312,7.1,00:04:47,110,10053.26,0.042
People & Society/Social Sciences/Demographics,35-44,Male,1279,1018,2679,0.347,5.63,00:03:45,70,5932.06,0.0261
Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle & Traffic Safety,35-44,Male,1278,1052,2320,0.379,5.25,00:03:14,62,4881.07,0.0267
Arts & Entertainment/Music & Audio/Country Music,35-44,Male,1274,1065,2397,0.319,5.41,00:03:58,78,6709.47,0.0325
Sports/Individual Sports/Track & Field,35-44,Male,1274,1055,2341,0.344,5.67,00:03:19,66,7214.7,0.0282
Shopping/Apparel/Suits & Business Attire,35-44,Male,1272,951,3028,0.327,6.45,00:04:05,71,5685.66,0.0234
People & Society/Subcultures & Niche Interests/Science Fiction & Fantasy,35-44,Male,1271,1100,2332,0.347,5.82,00:03:14,79,7103.5,0.0339
Home & Garden/Pest Control,35-44,Male,1270,1055,2433,0.372,5.25,00:03:19,64,6652.81,0.0263
Beauty & Fitness/Fitness/Fitness Equipment & Accessories/Weights & Strength Training Equipment,35-44,Male,1265,1011,2703,0.282,6.03,00:04:12,118,9914.34,0.0437
Business & Industrial/Construction & Maintenance/Building Materials & Supplies/Wood & Plastics,35-44,Male,1262,1072,2380,0.321,6.02,00:03:43,81,7304.1,0.034
Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal/Razors & Shavers,35-44,Male,1261,989,2849,0.319,5.81,00:03:58,71,5646.05,0.0249
Sports/College Sports,35-44,Male,1254,1081,2284,0.29,5.53,00:03:44,66,5681.25,0.0289
Computers & Electronics/Computer Hardware/Computer Components/Sound & Video Cards,35-44,Male,1249,1110,2532,0.328,6.04,00:03:56,97,8652.94,0.0383
Reference/Language Resources,35-44,Male,1248,1046,2419,0.331,6.14,00:04:09,75,6626.39,0.031
Computers & Electronics/Programming/Java (Programming Language),35-44,Male,1239,1090,2362,0.285,6.17,00:04:54,77,8031.35,0.0326
Food & Drink/Restaurants/Fast Food/Burgers,35-44,Male,1239,1033,2357,0.356,5.1,00:02:59,60,4899.24,0.0255
Home & Garden/Kitchen & Dining/Major Kitchen Appliances/Refrigerators & Freezers,35-44,Male,1239,1024,2556,0.317,6.4,00:04:12,79,6712.39,0.0309
Home & Garden/Home Furnishings/Outdoor Furniture,35-44,Male,1226,1019,2354,0.378,5.23,00:03:05,75,5614.48,0.0319
"Home & Garden/Home Swimming Pools, Saunas & Spas",35-44,Male,1226,1036,2218,0.386,5.47,00:03:08,70,6401.61,0.0316
"Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Printers",35-44,Male,1225,995,2663,0.267,7.08,00:05:28,100,10351.04,0.0376
Computers & Electronics/Consumer Electronics/Electronic Accessories,35-44,Male,1224,1020,2340,0.315,6.37,00:04:31,75,7634.83,0.0321
Home & Garden/Bed & Bath/Bedroom/Bedding & Bed Linens,35-44,Male,1221,995,2559,0.349,5.6,00:03:39,82,7552.93,0.032
People & Society/Family & Relationships/Romance,35-44,Male,1214,1007,2489,0.393,5.65,00:03:45,65,5295.9,0.0261
News,35-44,Male,1212,934,2988,0.402,5.67,00:03:51,49,4310.12,0.0164
Home & Garden/Laundry/Washers & Dryers,35-44,Male,1211,1014,2479,0.37,5.93,00:03:54,78,7228.63,0.0315
Food & Drink/Food/Candy & Sweets,35-44,Male,1203,988,2322,0.372,5.43,00:03:20,59,5004.99,0.0254
Books & Literature/Magazines,35-44,Male,1200,981,2314,0.333,5.96,00:04:17,89,8472.64,0.0385
Home & Garden/Bed & Bath/Bedroom/Mattresses,35-44,Male,1181,961,2550,0.359,5.8,00:03:56,73,7140.5,0.0286
Shopping/Apparel/Footwear/Boots,35-44,Male,1180,950,2704,0.34,6.25,00:04:01,72,6193.03,0.0266
Law & Government/Government,35-44,Male,1177,946,2468,0.344,5.49,00:03:42,88,7685.92,0.0357
Computers & Electronics/Software/Multimedia Software/Desktop Publishing/Fonts,35-44,Male,1170,1044,2102,0.281,5.91,00:04:00,80,8442.34,0.0381
"Autos & Vehicles/Motor Vehicles (By Type)/Trucks, Vans & SUVs/Vans & Minivans",35-44,Male,1157,980,2151,0.396,5.27,00:03:26,61,5816.47,0.0284
Business & Industrial/Energy & Utilities/Electricity,35-44,Male,1154,974,2345,0.345,5.98,00:03:58,85,7576.22,0.0362
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Talent & Variety Shows,35-44,Male,1152,952,2159,0.39,5.26,00:03:32,40,3713.92,0.0185
Travel & Transportation/Tourist Destinations/Historical Sites & Buildings,35-44,Male,1151,953,2243,0.359,5.38,00:03:23,70,6329.29,0.0312
Sports/Sport Scores & Statistics,35-44,Male,1148,932,2549,0.366,5.99,00:04:35,65,6052.13,0.0255
Home & Garden/Home Improvement/Flooring,35-44,Male,1145,955,2468,0.314,6.73,00:04:38,94,8393.93,0.0381
Internet & Telecom/Teleconferencing,35-44,Male,1140,909,2126,0.289,6.58,00:05:01,101,10417.39,0.0475
Travel & Transportation/Transportation/Car Rentals,35-44,Male,1133,925,2176,0.337,6.01,00:03:47,85,7650.11,0.0391
Shopping/Consumer Resources/Product Reviews & Price Comparisons,35-44,Male,1132,984,2170,0.31,6.28,00:04:02,65,7010.61,0.03
Books & Literature/E-Books,35-44,Male,1131,971,2414,0.351,6.11,00:04:42,53,4756.36,0.022
Food & Drink/Cooking & Recipes/Soups & Stews,35-44,Male,1126,940,2135,0.343,5.71,00:03:41,72,5781.77,0.0337
Food & Drink/Restaurants/Pizzerias,35-44,Male,1121,906,2400,0.346,5.67,00:03:18,66,6537.67,0.0275
Home & Garden/Kitchen & Dining/Cookware & Diningware/Cookware,35-44,Male,1121,908,2497,0.305,6.14,00:04:03,87,7305.55,0.0348
Law & Government/Government/Legislative Branch,35-44,Male,1119,864,2280,0.369,5.58,00:03:48,63,5779.88,0.0276
Food & Drink/Food/Breakfast Foods,35-44,Male,1115,922,2197,0.334,5.54,00:03:25,64,4988.22,0.0291
Computers & Electronics/Consumer Electronics/Drones & RC Aircraft,35-44,Male,1113,947,2143,0.371,5.52,00:03:45,69,6262.15,0.0322
Science/Ecology & Environment/Climate Change & Global Warming,35-44,Male,1111,926,1967,0.346,6.87,00:03:43,95,8286.21,0.0483
"Home & Garden/Kitchen & Dining/Major Kitchen Appliances/Ranges, Cooktops & Ovens",35-44,Male,1110,949,2197,0.36,5.86,00:03:37,73,7197.36,0.0332
Internet & Telecom/Web Services/Web Stats & Analytics,35-44,Male,1110,960,2407,0.315,6.04,00:04:32,96,10121.34,0.0399
Computers & Electronics/Programming,35-44,Male,1106,966,1991,0.293,6.29,00:04:33,80,7106.02,0.0402
Games/Board Games/Miniatures & Wargaming,35-44,Male,1102,987,2147,0.314,5.67,00:03:37,84,8289.24,0.0391
Business & Industrial/Energy & Utilities/Renewable & Alternative Energy/Solar Power,35-44,Male,1093,924,2144,0.358,5.85,00:03:40,52,6211.38,0.0243
Computers & Electronics/Programming/Development Tools,35-44,Male,1081,961,1977,0.287,6.4,00:05:11,76,6790.74,0.0384
Games/Computer & Video Games/Sports Games,35-44,Male,1081,948,1926,0.363,5.64,00:03:27,70,7160.25,0.0363
Science/Biological Sciences/Flora & Fauna/Insects & Entomology,35-44,Male,1076,921,1951,0.378,5.6,00:03:20,66,6305.13,0.0338
Shopping/Luxury Goods,35-44,Male,1076,863,2417,0.34,6.16,00:04:01,65,6268.09,0.0269
Arts & Entertainment/Visual Art & Design/Painting,35-44,Male,1073,884,1998,0.356,5.66,00:03:37,54,5002.7,0.027
Books & Literature/Literary Classics,35-44,Male,1069,867,2056,0.339,5.54,00:03:49,64,5695.84,0.0311
Arts & Entertainment/TV & Video/TV Shows & Programs,35-44,Male,1064,878,2172,0.387,5.45,00:03:02,53,5533.89,0.0244
Arts & Entertainment/Movies/Movie Reference,35-44,Male,1058,902,1895,0.329,5.48,00:03:36,37,3582.38,0.0195
Internet & Telecom/Search Engines/People Search,35-44,Male,1054,865,1909,0.317,6.52,00:04:20,77,6884.77,0.0403
Business & Industrial/Small Business/Business Formation,35-44,Male,1047,876,1900,0.281,6.51,00:04:21,112,10651.17,0.0589
Business & Industrial/Advertising & Marketing/Marketing,35-44,Male,1045,880,1956,0.334,6.26,00:04:13,67,7290.72,0.0343
Games/Board Games/Chess & Abstract Strategy Games,35-44,Male,1043,886,1947,0.312,5.74,00:04:01,70,6891.28,0.036
Real Estate/Real Estate Listings/Commercial Properties,35-44,Male,1031,848,1939,0.307,6.13,00:04:02,92,10264.71,0.0474
Business & Industrial/Construction & Maintenance/Construction Consulting & Contracting,35-44,Male,1029,815,2008,0.297,6.72,00:04:23,124,12240.72,0.0618
Business & Industrial/Business Finance/Investment Banking,35-44,Male,1028,815,2236,0.298,5.61,00:03:52,81,7659.81,0.0362
Shopping/Apparel/Casual Apparel/T-Shirts,35-44,Male,1027,845,2149,0.387,5.39,00:03:32,59,5071.15,0.0275
Autos & Vehicles/Motor Vehicles (By Brand)/Jaguar,35-44,Male,1014,797,2029,0.369,5.3,00:03:13,69,6376.83,0.034
Finance/Insurance,35-44,Male,1014,795,1982,0.289,6.58,00:04:17,95,10009.93,0.0479
Online Communities/Forum & Chat Providers,35-44,Male,1011,865,2083,0.287,5.74,00:03:57,66,5694.87,0.0317
Business & Industrial/Agriculture & Forestry/Agricultural Equipment,35-44,Male,1004,849,1830,0.385,5.84,00:04:03,53,4534.53,0.029
People & Society/Social Issues & Advocacy/Green Living & Environmental Issues,35-44,Male,1003,830,1925,0.312,6.1,00:04:11,70,5969.44,0.0364
Computers & Electronics/Computer Hardware/Computer Components/Chips & Processors,35-44,Male,1002,860,1887,0.314,6.06,00:04:07,52,5701.23,0.0276
"Online Communities/Online Goodies/Skins, Themes & Wallpapers",35-44,Male,995,868,1902,0.311,6.39,00:04:22,71,6604.97,0.0373
Finance/Investing/Funds/Hedge Funds,35-44,Male,993,826,1839,0.297,5.59,00:03:55,74,6252.64,0.0402
Jobs & Education/Education/Teaching & Classroom Resources,35-44,Male,990,796,1912,0.317,6.54,00:04:33,79,6037.08,0.0413
Sports/Water Sports/Surfing,35-44,Male,989,838,1771,0.29,6.23,00:03:59,87,8929.54,0.0491
Arts & Entertainment/Music & Audio/World Music/Reggae & Caribbean Music,35-44,Male,987,809,2105,0.365,5.88,00:04:02,34,3274.9,0.0162
Business & Industrial/Aerospace & Defense/Defense Industry,35-44,Male,979,804,1917,0.388,4.91,00:03:04,41,3117.9,0.0214
Shopping/Apparel/Athletic Apparel/Cycling Apparel,35-44,Male,978,801,1888,0.305,5.92,00:03:46,62,4780.56,0.0328
Shopping/Apparel/Clothing Accessories,35-44,Male,977,745,2287,0.298,6.71,00:05:09,91,7966.71,0.0398
Autos & Vehicles/Motor Vehicles (By Brand)/Hyundai,35-44,Male,976,798,2087,0.356,6.12,00:04:11,33,3222.58,0.0158
Real Estate/Real Estate Listings/Residential Sales/New Homes & Custom Homes,35-44,Male,973,783,1994,0.361,5.75,00:03:50,61,5363.5,0.0306
Computers & Electronics/Networking/VPN & Remote Access,35-44,Male,972,844,1812,0.298,7.04,00:04:57,78,8386.5,0.043
Autos & Vehicles/Bicycles & Accessories/Road Bikes,35-44,Male,967,787,1891,0.31,5.98,00:04:08,68,6863.42,0.036
"Arts & Entertainment/Movies/Thriller, Crime & Mystery Films",35-44,Male,964,801,1753,0.358,5.37,00:03:22,46,3399.4,0.0262
"Home & Garden/Patio, Lawn & Garden/Yard Maintenance/Lawn Mowers",35-44,Male,961,773,1769,0.343,5.91,00:03:29,55,5506.85,0.0311
Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration/Driving Instruction & Driver Education,35-44,Male,958,783,1859,0.415,5.79,00:03:11,54,5660.44,0.029
Computers & Electronics/Electronics & Electrical/Power Supplies,35-44,Male,957,824,1766,0.335,6.17,00:04:19,60,5875.28,0.034
Business & Industrial/Construction & Maintenance,35-44,Male,953,766,1945,0.339,6.21,00:04:07,70,6209.03,0.036
Arts & Entertainment/Visual Art & Design/Design/Graphic Design,35-44,Male,952,845,1758,0.32,6.06,00:04:24,68,6363.7,0.0387
Autos & Vehicles/Motor Vehicles (By Brand)/Vauxhall-Opel,35-44,Male,950,791,1724,0.422,4.69,00:02:42,37,3439.06,0.0215
Autos & Vehicles/Vehicle Parts & Services/Gas Prices & Vehicle Fueling,35-44,Male,942,772,1849,0.386,5.58,00:03:25,43,3622.54,0.0233
"Autos & Vehicles/Motor Vehicles (By Type)/Trucks, Vans & SUVs/Pickup Trucks",35-44,Male,940,803,1663,0.374,5.38,00:03:22,40,4776.98,0.0241
Computers & Electronics/Computer Hardware/Computer Drives & Storage/Hard Drives,35-44,Male,938,819,1772,0.308,6.39,00:04:11,55,4762.67,0.031
Sports/Sports Coaching & Training,35-44,Male,936,783,1747,0.324,6.18,00:03:50,63,6072.3,0.0361
Autos & Vehicles/Motor Vehicles (By Brand)/Kia,35-44,Male,931,767,2035,0.39,5.68,00:03:35,57,6220.94,0.028
Travel & Transportation/Travel Agencies & Services/Vacation Offers,35-44,Male,931,775,1681,0.397,5.21,00:02:52,34,3281.11,0.0202
Business & Industrial/Industrial Materials & Equipment,35-44,Male,924,784,1694,0.347,6.4,00:04:21,65,5930.64,0.0384
Games/Computer & Video Games/Driving & Racing Games,35-44,Male,923,794,1736,0.354,5.69,00:03:28,57,4461.31,0.0328
Finance/Investing/Stocks & Bonds/Bonds,35-44,Male,908,741,1789,0.29,6.7,00:04:23,69,8464.89,0.0386
Hobbies & Leisure/Merit Prizes & Contests,35-44,Male,908,765,1673,0.373,4.99,00:03:05,51,4514.01,0.0305
Business & Industrial/Metals & Mining/Precious Metals,35-44,Male,905,747,1831,0.351,6.18,00:04:22,55,4931.99,0.03
Hobbies & Leisure/Crafts/Fiber & Textile Arts,35-44,Male,903,759,1753,0.345,5.69,00:03:57,50,4274.19,0.0285
Shopping/Apparel/Women's Clothing/Dresses,35-44,Male,903,756,1758,0.397,5.67,00:03:31,52,5171.09,0.0296
Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Cameras & Camcorders/Cameras/Digital SLR Cameras,35-44,Male,901,778,1810,0.32,6.44,00:04:15,63,4921.5,0.0348
Business & Industrial/Advertising & Marketing,35-44,Male,900,768,1765,0.39,5.21,00:03:48,54,5352.27,0.0306
Autos & Vehicles/Bicycles & Accessories/Bike Accessories,35-44,Male,899,745,1765,0.288,6.92,00:04:24,60,6015.88,0.034
Home & Garden/Bed & Bath/Bedroom/Beds & Headboards,35-44,Male,899,742,1986,0.393,5.03,00:03:11,55,5357.49,0.0277
Travel & Transportation/Tourist Destinations/Mountain & Ski Resorts,35-44,Male,896,729,1903,0.279,6.52,00:07:24,85,8591.77,0.0447
Arts & Entertainment/Visual Art & Design,35-44,Male,894,729,1659,0.369,5.46,00:03:17,61,5141.3,0.0368
Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration,35-44,Male,894,726,1803,0.382,5.43,00:03:37,48,4104.55,0.0266
Law & Government/Government/State & Local Government,35-44,Male,894,712,1783,0.343,6.22,00:04:03,65,5780.4,0.0365
Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Video Software,35-44,Male,891,766,1594,0.321,5.93,00:03:55,82,6653.27,0.0514
Home & Garden/Home Improvement/Locks & Locksmiths,35-44,Male,888,747,1645,0.37,5.49,00:03:24,52,4366.3,0.0316
Internet & Telecom/Web Services/Search Engine Optimization & Marketing,35-44,Male,881,761,1883,0.362,5.82,00:04:33,47,5283.38,0.025
Books & Literature/Children's Literature,35-44,Male,878,740,1702,0.331,6.07,00:04:17,68,7669.62,0.04
Shopping/Apparel/Clothing Accessories/Handbags & Purses,35-44,Male,874,705,2243,0.313,7.16,00:05:28,63,4519.95,0.0281
"Home & Garden/Patio, Lawn & Garden/Garden Structures",35-44,Male,866,698,1712,0.377,5.61,00:03:33,68,5486.3,0.0397
Autos & Vehicles/Motor Vehicles (By Brand)/Mazda,35-44,Male,865,716,1652,0.343,5.83,00:03:41,51,4567.59,0.0309
Shopping/Apparel/Eyewear/Sunglasses,35-44,Male,863,678,1862,0.318,6.43,00:04:20,54,4516.34,0.029
Home & Garden/Household Supplies,35-44,Male,862,702,1628,0.288,5.39,00:03:24,55,4426.91,0.0338
Real Estate/Real Estate Listings/Residential Sales/Condos & Townhomes,35-44,Male,860,696,1831,0.299,7.3,00:05:09,54,6186.08,0.0295
Finance/Financial Planning & Management,35-44,Male,856,673,1834,0.362,5.74,00:03:54,48,5573.96,0.0262
Real Estate/Real Estate Listings,35-44,Male,856,690,1527,0.286,6.63,00:04:25,58,8079.28,0.038
Arts & Entertainment/Music & Audio/Folk & Traditional Music,35-44,Male,847,700,1526,0.319,5.29,00:03:42,45,4908.73,0.0295
Jobs & Education/Education/Training & Certification,35-44,Male,846,706,1594,0.304,6.88,00:04:42,65,5486.14,0.0408
Business & Industrial/Business Operations/Human Resources/Compensation & Benefits,35-44,Male,845,692,1643,0.327,5.95,00:03:52,43,3685.28,0.0262
Computers & Electronics/Computer Hardware/Desktop Computers,35-44,Male,836,712,1733,0.304,5.94,00:04:20,60,5597.89,0.0346
Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Vehicle Fuels & Lubricants,35-44,Male,835,698,1601,0.344,6.03,00:03:45,45,3832.42,0.0281
Reference/Geographic Reference,35-44,Male,831,658,1651,0.371,5.86,00:03:52,46,5479.49,0.0279
Shopping/Apparel/Headwear,35-44,Male,831,681,1795,0.325,6.24,00:04:16,60,4521.67,0.0334
Home & Garden/HVAC & Climate Control/Fireplaces & Stoves,35-44,Male,830,708,1599,0.322,6.86,00:04:20,71,5938.77,0.0444
Science/Chemistry,35-44,Male,817,677,1535,0.333,6.49,00:04:17,60,6339.94,0.0391
Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Cameras & Camcorders/Camera Lenses,35-44,Male,815,690,1565,0.31,5.81,00:03:46,35,2941.04,0.0224
Computers & Electronics/Software/Freeware & Shareware,35-44,Male,815,713,1540,0.309,6.83,00:05:06,72,6225.05,0.0468
Arts & Entertainment/Performing Arts/Dance,35-44,Male,813,666,1581,0.326,5.7,00:03:08,48,3557.66,0.0304
Shopping/Apparel/Children's Clothing,35-44,Male,813,659,1745,0.316,6.33,00:04:15,73,6916.92,0.0418
Business & Industrial/Industrial Materials & Equipment/Heavy Machinery,35-44,Male,811,685,1740,0.394,6.03,00:03:55,60,5460.38,0.0345
Home & Garden/Laundry,35-44,Male,810,655,1709,0.334,5.93,00:03:59,43,3411.43,0.0252
Reference/Humanities/History/Military History,35-44,Male,809,667,1421,0.346,5.12,00:03:21,51,3911.09,0.0359
Law & Government/Government/Public Finance,35-44,Male,805,647,1568,0.292,6.55,00:04:37,68,6460.77,0.0434
Science/Mathematics/Statistics,35-44,Male,795,655,1485,0.287,6.49,00:04:28,58,6665.8,0.0391
Autos & Vehicles/Motor Vehicles (By Brand)/Toyota/Lexus,35-44,Male,793,619,1730,0.401,5.73,00:04:16,36,3260.22,0.0208
Food & Drink/Food/Snack Foods,35-44,Male,789,661,1485,0.358,5.28,00:03:33,47,3113.43,0.0316
Pets & Animals/Pets/Fish & Aquaria,35-44,Male,788,688,1409,0.356,5.91,00:03:42,44,4938.06,0.0312
Home & Garden/Household Supplies/Household Batteries,35-44,Male,787,693,1402,0.259,5.55,00:03:35,36,1997.91,0.0257
Arts & Entertainment/Music & Audio/World Music/Middle Eastern & North African Music,35-44,Male,785,663,1542,0.396,4.94,00:03:12,40,3510.23,0.0259
Arts & Entertainment/Performing Arts/Acting & Theater,35-44,Male,783,631,1577,0.344,5.66,00:03:40,50,3971.82,0.0317
Travel & Transportation/Transportation/Parking,35-44,Male,783,646,1464,0.388,5.92,00:03:32,54,4074.18,0.0369
Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz,35-44,Male,780,651,1611,0.282,6.31,00:05:02,53,4876.96,0.0329
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Home Theater Systems,35-44,Male,780,648,1720,0.341,6.36,00:04:33,58,3852.68,0.0337
Computers & Electronics/Software/Business & Productivity Software/Collaboration & Conferencing Software,35-44,Male,780,632,1459,0.276,7.36,00:05:22,73,8236.16,0.05
Computers & Electronics/Software/Intelligent Personal Assistants,35-44,Male,778,649,1476,0.354,5.71,00:03:41,56,3954.16,0.0379
Online Communities/Dating & Personals/Personals,35-44,Male,774,635,1540,0.366,5.36,00:03:40,47,3199.13,0.0305
Arts & Entertainment/Events & Listings/Event Ticket Sales,35-44,Male,772,625,1425,0.335,6.3,00:03:44,64,5322.13,0.0449
Home & Garden/Home Improvement/Plumbing,35-44,Male,771,656,1508,0.364,5.33,00:03:26,64,4439.25,0.0424
Home & Garden/HVAC & Climate Control/Air Conditioners,35-44,Male,771,634,1444,0.317,6.31,00:04:14,42,3404.82,0.0291
Books & Literature/Writers Resources,35-44,Male,764,643,1468,0.347,6.25,00:04:26,48,3824.4,0.0327
Food & Drink/Food/Meat & Seafood/Pork,35-44,Male,761,652,1475,0.344,5.77,00:03:36,48,3548.07,0.0325
Pets & Animals/Animal Products & Services/Pet Food & Pet Care Supplies,35-44,Male,761,624,1704,0.353,5.64,00:07:11,42,2842.95,0.0246
Shopping/Apparel/Undergarments,35-44,Male,757,616,1493,0.379,5.51,00:03:20,37,2364.21,0.0248
Food & Drink/Cooking & Recipes/Cuisines/Mediterranean Cuisine/Greek Cuisine,35-44,Male,752,627,1415,0.35,5.72,00:03:35,47,3837.12,0.0332
Computers & Electronics/Software/Business & Productivity Software/Presentation Software,35-44,Male,751,636,1461,0.232,7.42,00:05:37,81,9364.48,0.0554
Food & Drink/Food/Meat & Seafood,35-44,Male,751,623,1503,0.315,6.34,00:04:19,52,4560.06,0.0346
Arts & Entertainment/Movies/Action & Adventure Films/Martial Arts Films,35-44,Male,750,628,1560,0.392,5.38,00:03:12,39,3542.15,0.025
Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics,35-44,Male,750,617,1499,0.368,6.04,00:04:07,56,4804.53,0.0374
Science/Earth Sciences/Geology,35-44,Male,750,624,1306,0.372,5.37,00:03:27,36,3161.86,0.0276
